City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,cabo san lucas,22.8909,-109.9124,35.17,36,0,3.6,MX,1721759499
146,wailua homesteads,22.0669,-159.378,26.24,84,75,6.69,US,1721759500
147,constantia,44.1833,28.65,25.39,61,61,2.94,RO,1721759257
148,thunder bay,48.4001,-89.3168,20.95,56,40,4.12,CA,1721759221
149,isafjordur,66.0755,-23.124,11.02,76,100,4.12,IS,1721759505
150,vila franca do campo,37.7167,-25.4333,23.23,72,88,0.6,PT,1721759506
151,severo-yeniseyskiy,60.3725,93.0408,11.81,94,100,1.41,RU,1721759507
152,lakeview,42.432,-75.8655,26.22,58,27,0.89,US,1721759508
153,chililabombwe,-12.3648,27.8229,17.93,29,3,2.36,ZM,1721759510
154,fuling,29.7022,107.3919,28.37,73,86,1.6,CN,1721759513
155,dudinka,69.4058,86.1778,11.52,53,100,8.91,RU,1721759515
156,crane,31.3974,-102.3501,29.09,37,1,4.0,US,1721759516
157,vuktyl,63.8567,57.3094,12.82,73,100,2.05,RU,1721759517
158,saipan,15.1355,145.701,28.39,78,0,0.0,MP,1721759518
159,el granada,37.5027,-122.4694,32.68,58,20,2.06,US,1721759519
160,lihue,21.9789,-159.3672,26.58,84,75,6.69,US,1721759520
161,okha,53.5739,142.9478,10.72,98,100,6.19,RU,1721759522
162,batken,39.8333,71.0,17.75,49,64,0.67,KG,1721759523
163,klyuchi,52.2667,79.1667,21.33,59,11,3.92,RU,1721759524
164,urucara,-2.5364,-57.76,36.87,25,78,2.24,BR,1721759525
165,nema,57.5067,50.5011,17.74,56,100,3.63,RU,1721759526
166,kingston,17.997,-76.7936,32.87,62,20,8.23,JM,1721759523
167,nemuro,43.3236,145.575,17.92,95,35,7.44,JP,1721759530
168,georgetown,5.4112,100.3354,28.96,77,20,0.0,MY,1721759531
169,atafu village,-8.5421,-172.5159,27.89,79,99,7.37,TK,1721759533
170,queenstown,-31.8976,26.8753,9.69,20,5,3.37,ZA,1721759534
171,antigonish,45.6169,-61.9986,25.01,65,100,2.68,CA,1721759535
172,hagere selam,6.4833,38.5167,10.78,96,100,0.08,ET,1721759536
173,nadym,65.5333,72.5167,8.21,70,83,4.68,RU,1721759537
174,taroa,8.7058,171.2275,27.71,81,17,5.72,MH,1721759538
175,nar'yan-mar,67.6713,53.087,8.43,85,0,4.24,RU,1721759540
176,abepura,-2.6333,140.5833,23.45,100,40,0.51,ID,1721759541
177,vilyuchinsk,52.9306,158.4028,11.15,97,100,1.68,RU,1721759542
178,waingapu,-9.6567,120.2641,21.5,82,68,2.37,ID,1721759543
179,charters towers,-20.1,146.2667,11.36,92,5,2.75,AU,1721759544
180,weno,7.4515,151.8468,25.97,89,100,0.0,FM,1721759546
181,bilecik,40.0,30.1667,24.36,70,0,2.67,TR,1721759547
182,pakxan,18.3778,103.6601,24.49,97,100,3.97,LA,1721759548
183,uturoa,-16.7333,-151.4333,25.35,66,76,8.39,PF,1721759549
184,kourou,5.1552,-52.6478,32.03,56,8,4.48,GF,1721759317
185,creel,27.75,-107.6333,21.41,54,24,2.75,MX,1721759552
186,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,100,3.0,RU,1721759553
187,broceni,56.7,22.5333,19.1,93,100,3.0,LV,1721759554
188,xiulin,29.7167,112.4,29.06,60,100,2.7,CN,1721759555
189,lebu,-37.6167,-73.65,11.76,84,98,6.74,CL,1721759556
190,motueka,-41.1333,173.0167,5.05,84,2,2.12,NZ,1721759558
191,ebon,4.582,168.6964,28.38,77,100,5.15,MH,1721759559
192,quellon,-43.1167,-73.6167,10.41,89,85,4.59,CL,1721759554
193,calvinia,-31.4707,19.776,8.17,57,1,2.89,ZA,1721759561
194,tangalle,6.024,80.7911,27.09,90,80,4.28,LK,1721759562
195,rio gallegos,-51.6226,-69.2181,14.03,38,0,17.49,AR,1721759467
196,sodra sandby,56.5667,16.6167,22.92,81,64,4.17,SE,1721759565
197,magadan,59.5667,150.8,14.41,91,99,1.18,RU,1721759566
198,paramonga,-10.6667,-77.8333,19.33,72,35,5.7,PE,1721759567
199,al manzalah,31.1582,31.937,28.78,68,0,5.64,EG,1721759568
200,lagunas,-5.2269,-75.6753,29.3,61,100,0.62,PE,1721759570
201,usinsk,65.9939,57.5281,10.64,78,5,5.42,RU,1721759571
202,lensk,60.7253,114.9278,17.7,85,45,3.56,RU,1721759572
203,uige,-7.6087,15.0613,23.02,48,1,0.61,AO,1721759573
204,tsaratanana,-16.7833,47.65,20.25,71,19,3.27,MG,1721759574
205,tura,25.5198,90.2201,25.23,95,100,2.44,IN,1721759575
206,meadow lake,34.8014,-106.5436,29.27,37,0,3.03,US,1721759577
207,malaya vishera,58.8454,32.2222,17.51,59,0,1.4,RU,1721759578
208,hadibu,12.65,54.0333,26.94,74,100,9.05,YE,1721759579
209,namsos,64.4662,11.4957,14.03,82,75,2.57,NO,1721759580
210,el kala,36.8956,8.4433,26.23,73,0,5.44,DZ,1721759581
211,krasnogorskoye,52.2953,86.1979,16.17,90,93,1.49,RU,1721759583
212,nizhnyaya tavda,57.6731,66.1725,12.47,93,100,3.51,RU,1721759584
213,sittwe,20.15,92.9,27.82,86,61,8.14,MM,1721759585
214,carauari,-4.8828,-66.8958,36.42,26,0,2.14,BR,1721759587
215,gulf shores,30.246,-87.7008,33.54,71,40,4.63,US,1721759365
216,labasa,-16.4167,179.3833,22.66,86,34,3.23,FJ,1721759589
217,nantucket,41.2835,-70.0995,23.94,88,100,4.12,US,1721759590
